frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
70	100	0	4.26502	4.16297	0.737338	0.562566	-0.0199538	0.039673	0.409923
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
71	100	0	4.2685	4.165	0.737543	0.573506	-0.020462	0.0385202	0.395913
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
72	100	0	4.26259	4.15794	0.735822	0.582875	-0.0210283	0.0251814	0.399919
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
73	100	0	4.27544	4.16905	0.73721	0.595713	-0.0159458	0.00716105	0.379983
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
74	100	0	4.27216	4.16453	0.735513	0.605858	-0.0210983	0.0077068	0.369649
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
75	100	0	4.26069	4.15174	0.732668	0.616255	-0.0202415	0.00302374	0.355274
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
76	100	0	4.27178	4.16093	0.73388	0.629499	-0.0128808	-0.013088	0.327159
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
77	100	0	4.26606	4.15355	0.732319	0.641121	-0.0105568	-0.00334546	0.290685
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
78	100	0	4.2663	4.15206	0.731797	0.652879	-0.00429406	-0.0133144	0.293084
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
79	100	0	4.24715	4.13166	0.728192	0.661427	-0.00715308	0.0124521	0.260498
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
80	100	0	4.26154	4.14387	0.730313	0.675077	-0.00706416	-0.00436508	0.290011
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
81	100	0	4.24119	4.12222	0.726801	0.683231	-0.00148729	0.0113937	0.240182
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
82	100	0	4.25455	4.13348	0.729213	0.695573	0.00409974	-0.0242102	0.260571
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
83	100	0	4.24609	4.12357	0.728347	0.703536	0.00189844	-0.0215581	0.274388
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
84	100	0	4.25723	4.13272	0.731283	0.714003	0.00779911	-0.0473287	0.221592
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
85	100	0	4.26085	4.13473	0.732432	0.722819	0.00809499	-0.0460121	0.233772
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
86	100	0	4.25693	4.12958	0.732301	0.72923	0.00581695	-0.0610784	0.242922
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
87	100	0	4.26324	4.13434	0.734024	0.737308	0.00381746	-0.0630935	0.218206
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
88	100	0	4.25317	4.12348	0.733005	0.741004	0.0043661	-0.06598	0.208678
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
89	100	0	4.24778	4.11725	0.732454	0.745257	0.00775856	-0.091766	0.22143
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
90	100	0	4.23512	4.10403	0.730847	0.747683	0.0022982	-0.0698723	0.277061
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
91	100	0	4.24662	4.11422	0.733206	0.754554	0.00705116	-0.0768947	0.215935
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
92	100	0	4.2586	4.12494	0.736025	0.760832	0.00454367	-0.0832977	0.179999
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
93	100	0	4.24341	4.10926	0.733915	0.762834	0.00327884	-0.0731006	0.0978163
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
94	100	0	4.24397	4.10875	0.735053	0.7676	0.00133781	-0.0666837	0.0982941
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
95	100	0	4.2558	4.11911	0.73833	0.774339	0.000106007	-0.0757432	0.186477
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
96	100	0	4.25858	4.12072	0.739846	0.779644	0.00268266	-0.0882224	0.171085
