frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
8	21	0	1.9474	1.74036	0.399294	-0.777227	-0.0143783	0.0603278	0.658117
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
9	129	1	3.74453	3.6642	-0.488678	0.596918	-3.06141	-0.119649	-1.40585
9	123	0	3.85288	3.64652	1.21046	0.287014	1.34106	0.0671458	1.55977
9	7	0	2.02178	1.95045	0.531987	-0.0185241	0.165737	0.562234	-1.23851
9	8	0	1.92565	1.89255	0.353669	-0.0360372	-0.2915	0.397345	-1.00826
9	9	0	1.84607	1.83338	0.170878	-0.132362	-0.650231	0.144218	-0.907574
9	11	0	1.80456	1.73969	0.450353	-0.164518	-0.285162	0.397526	-0.584118
9	10	0	1.85721	1.83401	0.0260475	-0.291449	-0.989717	-0.130891	-0.905872
9	14	0	1.78054	1.66273	0.533614	-0.347688	-0.282562	0.410337	-0.15679
9	15	0	1.71912	1.63398	0.335732	-0.415655	-0.352214	-0.0385995	-0.171778
9	17	0	1.86624	1.68111	0.589587	-0.555972	-0.287798	0.410545	0.273278
9	22	0	1.91691	1.757	0.185696	-0.743644	0.247788	-0.268791	0.690958
9	20	0	2.03254	1.7885	0.607325	-0.750761	-0.297422	0.400723	0.717952
9	21	0	1.94733	1.74039	0.398932	-0.777159	-0.0149528	0.0597742	0.657907
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
10	129	1	3.74568	3.66533	-0.488833	0.597083	-3.06202	-0.121234	-1.40571
10	123	0	3.85338	3.64699	1.21065	0.287017	1.34132	0.066892	1.5599
10	7	0	1.9169	1.84944	0.50373	-0.0174635	0.16107	0.613367	-1.25543
10	8	0	1.92779	1.89471	0.353781	-0.0360238	-0.291879	0.395776	-1.00771
10	9	0	1.84663	1.83395	0.170704	-0.132308	-0.649875	0.145822	-0.908011
10	11	0	1.80499	1.74019	0.450227	-0.164357	-0.285071	0.398421	-0.585483
10	10	0	1.8562	1.83304	0.0259286	-0.291201	-0.991101	-0.132293	-0.906451
10	13	1	1.95404	1.79453	0.710584	-0.304968	-0.187452	0.824519	-0.215653
10	14	0	1.78062	1.66294	0.533435	-0.347392	-0.282444	0.411106	-0.156223
10	15	0	1.71858	1.63356	0.335495	-0.415242	-0.35077	-0.0302322	-0.166378
10	17	0	1.86791	1.68278	0.589962	-0.556139	-0.287763	0.409911	0.271813
10	20	0	2.03055	1.7869	0.606752	-0.749653	-0.29693	0.401795	0.717752
10	22	0	1.91662	1.75687	0.185631	-0.743231	0.246911	-0.268155	0.690486
10	21	0	1.95	1.74294	0.399469	-0.777879	-0.0148541	0.0580925	0.657494
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
11	129	0	3.7461	3.66577	-0.488784	0.597046	-3.06192	-0.122635	-1.40521
11	123	0	3.85362	3.64718	1.21081	0.286995	1.34048	0.0664367	1.55947
11	8	0	1.92754	1.89455	0.353272	-0.0358651	-0.29197	0.397187	-1.00907
11	9	0	1.84761	1.83497	0.170428	-0.132267	-0.650687	0.144621	-0.907872
11	11	0	1.80684	1.74212	0.450221	-0.164265	-0.286591	0.39757	-0.582866
11	10	0	1.85831	1.83515	0.0256799	-0.291353	-0.991079	-0.130204	-0.906351
11	13	1	1.9491	1.79009	0.708478	-0.304306	-0.178027	0.823932	-0.225834
11	14	0	1.78217	1.66461	0.533478	-0.347289	-0.283064	0.410124	-0.157265
11	15	0	1.71884	1.63397	0.335254	-0.414934	-0.350946	-0.0303993	-0.165979
11	17	0	1.86899	1.68402	0.589945	-0.55602	-0.287655	0.410048	0.271282
11	20	0	2.03077	1.78737	0.606583	-0.749262	-0.298795	0.400566	0.717713
11	22	0	1.91807	1.75831	0.185586	-0.74356	0.247069	-0.266484	0.689751
11	21	0	1.94885	1.74212	0.399028	-0.777046	-0.015543	0.059338	0.65735
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
12	129	0	3.74413	3.66384	-0.488537	0.596754	-3.06199	-0.121062	-1.40539
12	123	0	3.85384	3.6474	1.21085	0.287036	1.3418	0.0665477	1.55965
12	7	0	2.0407	1.96915	0.535326	-0.0182627	0.161337	0.565486	-1.23584
12	8	0	1.92415	1.89138	0.351832	-0.0356943	-0.291008	0.397766	-1.01074
12	9	0	1.84656	1.83401	0.169589	-0.132093	-0.65031	0.145446	-0.908856
12	11	0	1.80473	1.74029	0.449001	-0.16387	-0.285771	0.398903	-0.585903
12	10	0	1.8584	1.83523	0.0250171	-0.291435	-0.99062	-0.129697	-0.906041
12	14	0	1.7815	1.6642	0.532735	-0.346935	-0.283258	0.410948	-0.157115
12	15	0	1.71828	1.63359	0.334561	-0.414675	-0.351963	-0.0329744	-0.164876
12	17	0	1.86795	1.68331	0.589119	-0.555555	-0.288309	0.410429	0.271624
12	22	0	1.91752	1.75785	0.18513	-0.743355	0.24619	-0.267653	0.689718
12	20	0	2.03257	1.78915	0.606653	-0.749838	-0.298111	0.40186	0.716803
12	21	0	1.94873	1.74211	0.398625	-0.776986	-0.0159404	0.0600573	0.65688
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
13	129	0	3.7435	3.66323	-0.488478	0.596594	-3.06098	-0.121114	-1.40516
13	123	0	3.85106	3.64477	1.21	0.28675	1.34253	0.0587449	1.55983
13	7	0	2.06214	1.99004	0.540192	-0.0184302	0.154597	0.575225	-1.22903
