frameId	detectionId	distance	projX	projY	projZ
14065	300	6.257228466788996	6.231895747841067	-0.2539964227228618	0.5018658096333982
14066	300	6.248302915150735	6.223108810520417	-0.2593286498104879	0.4969453725429186
14067	300	6.238680656506512	6.2136379818167065	-0.2644148730046933	0.4918578450398297
14068	300	6.229833831927407	6.204945015134441	-0.26932686827634866	0.48677507188644903
14069	300	6.220855730382878	6.196137592180763	-0.2740517395041601	0.4814775187654937
14070	300	6.2058905443339505	6.1813650354457845	-0.278863058039853	0.475435738751862
14071	300	6.201993665571077	6.177595449876226	-0.2837379509756799	0.4706725620093595
14072	300	6.1786569648815135	6.1544468562845385	-0.2897225420443522	0.4632997210009402
14073	300	6.166285380723956	6.14221624174558	-0.2952665961446117	0.4572446537336066
14074	300	6.161607526314957	6.137648181562296	-0.30051799183774497	0.4520741579519672
14075	300	6.147450590224437	6.123654010791048	-0.3058298627344616	0.4455091586413439
14076	300	6.134525475407656	6.110853153827218	-0.3113492129022507	0.4392473203226547
14077	300	6.114089948871628	6.090569529072247	-0.317210984431896	0.4317822434809788
14078	300	6.1015848575145935	6.078176232918126	-0.3230661891332721	0.4251349109159528
14079	300	6.0828787962721025	6.059598871735637	-0.329027273162085	0.4176326343959347
14080	300	6.072209904937358	6.049005239136277	-0.3347364278068497	0.4113639148252207
14081	300	6.056013337974052	6.032928601361978	-0.34029806648170946	0.4040634437028841
14082	300	6.033886378774426	6.010907258192277	-0.3459930414238084	0.396317525044316
14083	300	6.023139101607446	6.000228388438861	-0.3515828558641626	0.3896837427290492
14084	300	6.009712839455505	5.98685289899295	-0.35747315933558377	0.38269272124079295
14085	300	5.9920314775094505	5.969216755201749	-0.3635190695603171	0.375161888987651
14086	300	5.97015737484808	5.947388363745174	-0.36950703622304704	0.36717200522791055
14087	300	5.9574497700620626	5.9346859728300085	-0.3754515368086774	0.3602031513122549
14088	300	5.9452824559649775	5.922516905523598	-0.3811280298711406	0.3534379858457016
14089	300	5.931782611049527	5.909009496836762	-0.3865900946177268	0.3466984421452855
14090	300	5.9137195951817665	5.890897942601431	-0.3925298937819213	0.3395896976920457
14091	300	5.891305499837456	5.868434179748178	-0.3983825899998286	0.3320422900225539
14092	300	5.879982210849481	5.8570085124714995	-0.4042883090491485	0.32587274803042593
14093	300	5.868472282240961	5.84540504845428	-0.409642842244118	0.319999201145577
14094	300	5.866513951628487	5.843313282349301	-0.4150122364691492	0.3153421515636775
14095	300	5.8478426107718215	5.824504908464752	-0.4206776150615125	0.3089273633311892
14096	300	5.830940715728878	5.807444067897488	-0.4262666743277629	0.3029187200300369
14097	300	5.824087178973576	5.800412330900331	-0.43204975625156106	0.2975588478717252
14098	300	5.8389010933104455	5.81498575653188	-0.4380437658735372	0.2946596137454081
14099	300	5.808731872753636	5.784608343710634	-0.444089825925626	0.2871524088817982
14100	300	5.792918598383482	5.768569707933594	-0.4497706943888939	0.28145289957131153
14101	300	5.787579101404482	5.762939335738503	-0.4563282819789093	0.2763450138467528
14102	300	5.779397270392059	5.754456353260279	-0.462651186817581	0.2713277847436181
14103	300	5.75680456195645	5.731575380493699	-0.468740742936737	0.26481038157935033
14104	300	5.755295939917668	5.729780523877054	-0.4747121561363562	0.2601823842006785
14105	300	5.732115993139852	5.706335146832122	-0.4803660186706426	0.25326160179668056
14106	300	5.7226135958592605	5.696537383703912	-0.4862464409774187	0.2476541988617115
14107	300	5.716551968312153	5.690159362625819	-0.4924910764833713	0.24187884140523835
14108	300	5.697705532779832	5.671002443626497	-0.4983666883894432	0.2349686501556182
14109	300	5.680145766227662	5.653119742964983	-0.5042686310512536	0.2280487777456364
14110	300	5.666010039715692	5.63867905984345	-0.5099715186651675	0.22112729454399996
14111	300	5.658834173287478	5.631183249121393	-0.5156982783839026	0.21502255986919605
14112	300	5.622506269589404	5.594537526171466	-0.5207074024555558	0.20637446755688588
